[SOMMET]
0	DEPART	627	658	null	true	T1	0
4	Vert	506	113	NR	false	J0	1
8	Vert	392	155	NI	false	J0	2
2	Vert	462	255	NR	false	J0	3
3	Vert	580	255	AU	false	J0	4
6	Vert	342	341	AU	false	J0	5
6	Bleu	474	378	PT	false	J0	6
8	Bleu	622	372	AL	false	J0	7
5	Rouge	99	468	TI	false	J0	8
3	Rouge	245	465	AL	false	J0	9
1	Rouge	347	473	NR	false	J0	10
2	Gris	749	424	FE	false	J0	11
3	Bleu	452	513	AL	false	J0	12
4	Bleu	542	515	CO	false	J0	13
2	Bleu	634	513	PT	false	J0	14
4	Gris	849	512	NR	false	J0	15
3	Jaune	976	515	NR	false	J0	16
4	Rouge	117	649	NR	false	J0	17
2	Rouge	247	649	AL	false	J0	18
2	Marron	533	662	AG	false	J0	19
1	Jaune	978	630	FE	false	J0	21
4	Jaune	1103	628	AG	false	J0	22
5	Marron	340	795	TI	false	J0	23
3	Marron	501	793	AG	false	J0	24
4	Marron	640	800	NI	false	J0	25
1	Marron	745	799	AU	false	J0	26
3	Gris	894	723	CO	false	J0	27
1	Gris	820	636	FE	false	J0	28
2	Jaune	1100	786	AU	false	J0	30
1	Gris	854	831	AG	false	J0	31
1	Jaune	989	802	PT	false	J0	32

[ROUTES]
1	1	2	J0
1	1	3	J0
1	2	3	J0
1	1	4	J0
1	3	4	J0
1	5	3	J0
1	5	6	J0
1	6	3	J0
1	6	7	J0
1	7	4	J0
2	8	5	J0
1	8	9	J0
1	9	5	J0
1	10	6	J0
1	10	9	J0
1	11	14	J0
1	12	10	J0
1	12	6	J0
1	12	13	J0
1	13	14	J0
1	13	7	J0
1	15	11	J0
1	7	14	J0
2	15	16	J0
2	17	8	J0
1	17	18	J0
1	19	12	J0
1	21	22	J0
1	25	26	J0
2	24	19	J0
2	27	21	J0
1	28	27	J0
2	30	22	J0
1	0	14	J0
1	0	19	J0
1	0	26	J0
2	0	28	J0
2	21	28	J0
2	31	26	J0
1	31	27	J0
1	28	15	J0
1	32	30	J0
2	21	32	J0
2	32	31	J0
1	23	18	J0
2	23	24	J0
2	25	24	J0
2	10	18	J0
2	16	22	J0
